,0
MCMBP,0.31963117015013903
DLC1,0.31875224373806693
ZFHX3,0.31873113429328065
PBX1,0.316240475259301
NQO1,0.3157053988773416
UNC13B,0.3140609797883638
TMLHE,0.31385220209233905
PATL1,0.31206868683455424
CDH11,0.3115782284712657
EXOC4,0.3106046447550992
BAZ2B,0.3105572348491921
CHST11,0.3104024389927285
TANC2,0.30828043785462234
NOS1AP,0.30814382211870284
FLVCR2,0.30802237593390613
PTPRC,0.307834990602486
SH3RF3,0.3078010331502707
RCC1,0.30732956609483736
PHACTR1,0.3070555988041178
HDAC9,0.30687006581997334
STAT1,0.30668010824143677
NEDD4L,0.3065488691012202
PPIC,0.30632264595308345
THSD4,0.30597916817219784
MICAL3,0.3059170209579214
KCNMA1,0.30561292501163373
ARHGAP42,0.30555618235478843
CELF2,0.30552087952643103
KLHL24,0.3053474160667198
MAGI2,0.3044479165573634
C10orf11,0.3042501481487708
S100A9,0.30388828113775557
PDGFC,0.30375192178309485
WARS2,0.3037325610452745
ATXN2L,0.30317009326073796
INTS10,0.3031186179511598
THSD7A,0.3028821561655965
SH3RF1,0.3024093316619488
EP300,0.3002870421160823
GULP1,0.30013495410225627
SLC41A2,0.30007563279741845
IGF1R,0.29971034922150175
ALPL,0.2996400118003719
CRABP2,0.29943062940783566
SLC2A1,0.29935134776464384
PLCB4,0.2985587494936967
TFCP2L1,0.29821718598405617
ATP11A,0.2971704443732524
FBXL17,0.29628706956859757
GPR98,0.29589250775407766
SETBP1,0.2952437776249579
CSTA,0.2947845151827442
AKAP6,0.2929828334277127
ZYG11B,0.29298262995469626
ANXA2P2,0.29194953815314667
TOX,0.29188994262958695
OCLN,0.2909967446021023
NPNT,0.2903300162396168
GPR116,0.29013800796821615
ITGB6,0.2899535063720593
RPS27A,0.28992343828856837
GOLGA1,0.2898619866566356
MLLT3,0.28829744965869386
UCHL1,0.28661323538686695
CHCHD3,0.28636320225174167
CP,0.2860390225160805
C4BPA,0.2857455383230663
SLC8A1,0.2835090636440961
INPP4B,0.28345408135476696
CD55,0.28331272320937706
NBEAL1,0.2829602078827849
TMTC2,0.28261889514967115
SLC20A1,0.2818145786710858
EPB41L1,0.28103923934188946
KLF12,0.2808826820103776
SKAP1,0.28023291052728233
CACHD1,0.28001245015480614
MAGI3,0.2794394531445745
RNASE1,0.2793540899769588
STK33,0.27893792751041985
PAG1,0.27876710173793967
ABCA13,0.27825181408466027
PPARG,0.2781290233264682
TCF4,0.2777101860323629
KCNJ15,0.27766641643584583
DTNA,0.27661288099450954
ARHGAP26,0.27660285882296964
FXYD3,0.27625129986913044
PPP1R16B,0.27534914503455954
H19,0.27524465599552744
HPGD,0.2750897140236959
STEAP4,0.2750843434874601
IFI27,0.27486452496699115
ELMO1,0.27477166936543956
RANBP17,0.2744903596226639
WWOX,0.27392663465927053
STK3,0.27276371642476077
PDE4D,0.27263498091461075
EGLN3,0.27229195738137435
UGT8,0.27197002249746516
SSBP2,0.27194489433441477
SERPINA1,0.27130540652317936
PCNP,0.2709347453490339
DDAH1,0.27031622695355484
PLEKHA5,0.27028449521334275
C16orf89,0.269696576465328
IGLL5,0.26949486820276086
PDS5A,0.2686175356504001
PLXDC2,0.2678277388141513
SUGT1P3,0.2678150378154375
LCN2,0.2669117522114943
GPI,0.26686239622475794
NCEH1,0.2666580225235551
